source,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
20250705_043243,4537,463,472.5,19.57,0.26,14.73,218.8
20250705_043717,3825,1175,494.6,19.41,0.27,14.18,228.0
20250705_044132,4876,124,492.1,18.31,0.39,14.10,231.7
20250705_044728,4898,102,471.3,17.48,0.34,13.53,238.4
20250705_045525,4961,39,493.8,19.00,0.49,15.20,215.3
20250705_050100,3939,1061,490.9,17.65,0.39,13.34,241.6
20250705_050654,4064,936,467.3,18.59,0.59,14.32,228.9
20250705_051113,4704,296,464.6,17.70,0.32,13.37,241.1
20250705_051609,4428,572,485.6,18.35,0.57,13.80,237.3
20250705_052115,4923,77,439.7,18.85,0.33,13.30,233.0
20250705_052548,4404,596,488.8,17.97,0.20,13.65,234.2
20250705_053016,4970,30,482.8,18.81,0.28,14.19,234.0
20250705_053642,4905,95,477.4,17.98,0.13,14.10,237.0
20250705_054108,4539,461,469.0,20.57,0.20,15.12,220.9
20250705_054602,4341,659,485.8,44.39,0.56,15.07,101.8
20250706_040811,4977,23,462.6,19.15,0.23,14.59,224.0
20250706_041258,4937,63,463.8,20.53,0.26,15.10,213.1
20250706_041711,4067,933,499.0,20.13,0.48,14.84,216.7
20250706_042722,4744,256,492.8,20.87,0.21,14.66,221.0
20250706_043200,4970,30,450.2,19.70,0.19,14.26,226.7
20250706_043631,4984,16,458.8,19.99,0.30,14.75,226.0
